"Biochar Name","Feedstock Composition","Optional comments about Feedstock","Commercial","Geographic Region","Manufacturer","Pyrolysis Method","Source: Peer Reviewed Publication","Reference","Moisture (%)","Temperature (C)","Total Ash Content (%)","C Organic (%)  ","Total C (%) Used in Plot","Total N (%)","H (%)","O (%)","pH","EC (dS/m)","Mean Particle Size (mm)","Germination Inhibition","Polycylic Aromatic Hydrocarbons (mg/kg)","Dioxin/Furan (mg/kg)","Polychlorinated Biphenyls (mg/kg)","Arsenic (mg/kg)","Cadmium (mg/kg)","Chromium (mg/kg)","Cobalt (mg/kg)","Copper (mg/kg)","Lead (mg/kg)","Molybdenum (mg/kg)","Mercury (mg/kg)","Nickel (mg/kg)","Selenium (mg/kg)","Zinc (mg/kg)","Boron (mg/kg)","Chlorine (mg/kg)","Sodium (mg/kg)","Previous Page","Cation Exchange Capacity (cmolc/kg)","Method Summary/Reference","Volatile Matter (%)","Total Surface Area (m2/g)","Method Summary/Reference","Extractable P (mg/kg)","Total P (mg/kg)","Calcium (mg/kg)","Magnesium (mg/kg)","Potassium (mg/kg)","Aluminum (mg/kg)","Iron (mg/kg)","Elemental extraction method",
"Ponderosa pine shavings4","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","400.00","1.40","","74.10",".06","4.95","20.90","","","","","","","","","","","","","","","","","","","","","","","","","36.40","28.70","","","","","","","","","",
"Ponderosa pine shavings5","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","500.00","2.10","","81.90",".08","3.54","14.50","","","","","","","","","","","","","","","","","","","","","","","","","25.20","196.00","","","","","","","","","",
"Ponderosa pine shavings6","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","600.00","3.70","","89.00",".06","2.99","8.00","","","","","","","","","","","","","","","","","","","","","","","","","11.10","392.00","","","","","","","","","",
"Ponderosa pine shavings7","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","700.00","1.70","","92.30",".08","1.62","6.00","","","","","","","","","","","","","","","","","","","","","","","","","6.30","347.00","","","","","","","","","",
"Wood1","Wood","","Non commercial","","","","Yes","Major et al., Plant Soil 333 (2010) 117-128","","","4.60","","72.90",".76","1.465","18.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cellulose1","Wood","","Non commercial","","","","Yes","Argudo et al., Carbon 36, 7-8 (1998) 1027-1031","","400.00","0.00","","82.56",".08","3.29","14.07","","","","","","","","","","","","","","","","","","","","","","","","","","133.00","","","","","","","","","",
"Cellulose2","Wood","","Non commercial","","","","Yes","Argudo et al., Carbon 36, 7-8 (1998) 1027-1031","","500.00","0.00","","88.08",".08","3.18","8.66","","","","","","","","","","","","","","","","","","","","","","","","","","292.00","","","","","","","","","",
"Cellulose3","Wood","","Non commercial","","","","Yes","Argudo et al., Carbon 36, 7-8 (1998) 1027-1031","","600.00","0.00","","87.72",".08","2.73","9.47","","","","","","","","","","","","","","","","","","","","","","","","","","322.00","","","","","","","","","",
"Cellulose4","Wood","","Non commercial","","","","Yes","Argudo et al., Carbon 36, 7-8 (1998) 1027-1031","","700.00","0.00","","91.69",".08","1.93","6.30","","","","","","","","","","","","","","","","","","","","","","","","","","337.00","","","","","","","","","",
"Chestnut wood charf1","Hard Wood","","Non commercial","","","","Yes","Hammes et al., Applied Geochem. 23 (2008) 2113-2122","","450",".05","","68.20",".16","3.98","27.10","","","","","","","","","","","","","","","","","","","","","","","","","","2.00","","","","","","","","","",
"Pine Chips1","Soft Wood","","Non commercial","","","","Yes","Gaskin et al., ASABE 51, 6 (2008) 2061-2069","","400","","","73.9",".255","","","7.55","","","","","","","","","","","","","","","","","","","","","","7.27","","","","","","","","","","","","",
"Pine Chips2","Soft Wood","","Non commercial","","","","Yes","Gaskin et al., ASABE 51, 6 (2008) 2061-2069","","500","","","81.7",".223","","","8.3","","","","","","","","","","","","","","","","","","","","","","5.03","","","","","","","","","","","","",
"Pine woodchips1","Soft Wood","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","465","5.6","","74.5",".3","3.2","8.9","","","","","","","","","","","","","","","","","","","","","","","","","",".1","","","","","","","","","",
"Oak+Hickory1","Hard Wood","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","","14.1","","69.1",".7","2.2","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","19.2","","","","","","","","","",
"Pine woodchips2","Soft Wood","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","465","9.3","","71.2",".2","3","11.4","","","","","","","","","","","","","","","","","","","","","","","","","",".19","","","","","","","","","",
"Wood Pellets 600","Wood","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","","6","","69",".2","3.3","20","","","","","","","","","","","","","","","","","","","","","","","","","12","24","","","","","","","","","",
"Hardwood char1","Hard Wood","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","538","27","","53",".4","2.6","10","","","","","","","","","","","","","","","","","","","","","","","","","","7.2","","","","","","","","","",
"Eucalyptus saligna wood1","Hard Wood","","Non commercial","Australia","","","Yes","Singh et al., Australian J. Soil Research 48 (2010) 516-525","","400","4.2","","69.4",".21","","","7.7","","","","","","","","","","","","","","","","","","","","","","47","","","","","","","","","","","","",
"Eucalyptus saligna wood2","Hard Wood","","Non commercial","Australia","","","Yes","Singh et al., Australian J. Soil Research 48 (2010) 516-525","","550","4.4","","79.2",".23","","","9.5","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","",
"Eucalyptus saligna wood3","Hard Wood","","Non commercial","Australia","","","Yes","Singh et al., Australian J. Soil Research 48 (2010) 516-525","","400","3.2","","69.7",".21","","","6.9","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","",
"Eucalyptus saligna wood4","Hard Wood","","Non commercial","","","","Yes","Singh et al., Australian J. Soil Research 48 (2010) 516-525","","550","4.4","","83.6",".26","","","8.8","","","","","","","","","","","","","","","","","","","","","","35","","","","","","","","","","","","",
"Grapeseed1","Pomace","","Non commercial","","","","Yes","Ozcimen and Ersoy-Mericboyu, Renewable Energy 35 (2010) 1319-1324","","750.00","9.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.48","","","","","","","","","",
"Orange peels1","Pomace","","Non commercial","","","","Yes","Chen and Chen, Chemosphere 76 (2009) 127-133","","150.00",".45","","50.60","1.75","6.20","41.00","","","","","","","","","","","","","","","","","","","","","","","","","","22.80","","","","","","","","","",
"Orange peels2","Pomace","","Non commercial","","","","Yes","Chen and Chen, Chemosphere 76 (2009) 127-133","","200.00",".30","","57.90","1.88","5.53","34.40","","","","","","","","","","","","","","","","","","","","","","","","","","7.75","","","","","","","","","",
"Orange peels3","Pomace","","Non commercial","","","","Yes","Chen and Chen, Chemosphere 76 (2009) 127-133","","250.00","1.05","","65.10","2.22","5.12","26.50","","","","","","","","","","","","","","","","","","","","","","","","","","33.30","","","","","","","","","",
"Orange peel4","Pomace","","Non commercial","","","","Yes","Chen and Chen, Chemosphere 76 (2009) 127-133","","300.00","1.57","","69.30","2.36","4.51","22.20","","","","","","","","","","","","","","","","","","","","","","","","","","32.30","","","","","","","","","",
"Orange peel5","Pomace","","Non commercial","","","","Yes","Chen and Chen, Chemosphere 76 (2009) 127-133","","350.00","2.00","","73.20","2.30","4.19","18.30","","","","","","","","","","","","","","","","","","","","","","","","","","51.00","","","","","","","","","",
"Orange peels6","Pomace","","Non commercial","","","","Yes","Chen and Chen, Chemosphere 76 (2009) 127-133","","400.00","2.10","","71.70","1.92","3.48","20.80","","","","","","","","","","","","","","","","","","","","","","","","","","34.00","","","","","","","","","",
"Orange peels7","Pomace","","Non commercial","","","","Yes","Chen and Chen, Chemosphere 76 (2009) 127-133","","500.00","4.27","","71.40","1.83","2.25","20.30","","","","","","","","","","","","","","","","","","","","","","","","","","42.40","","","","","","","","","",
"Orange peels8","Pomace","","Non commercial","","","","Yes","Chen and Chen, Chemosphere 76 (2009) 127-133","","600.00","4.04","","77.80","1.80","1.97","14.40","","","","","","","","","","","","","","","","","","","","","","","","","","7.78","","","","","","","","","",
"Orange peels9","Pomace","","Non commercial","","","","Yes","Chen and Chen, Chemosphere 76 (2009) 127-133","","700.00","2.79","","71.60","1.72","1.76","22.20","","","","","","","","","","","","","","","","","","","","","","","","","","201.00","","","","","","","","","",
"Enhanced biochar","Soft Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","700","6.4","","58.1",".41","4.16","31.66","6.80","","","","","","","","","","","","","","","","","","","","","","66.96","","","2.03","","","","","","","","","",
"Turkey Litter","Manure","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","700","64.0","","15.6",".78",".83","4.37","10.90","","","","","","","","","","","","","","","","","","","","","","24.45","","","21.77","","","","","","","","","",
"Walnut Shell","Nutshell","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","900","40.4","","55.3",".47",".89","1.55","9.7","","","","","","","","","","","","","","","","","","","","","","33.4","","","227.10","","","","","","","","","",
"Hog waste","Soft Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","650","2.4","","68.2",".51","3.66","26.82","7.50","","","","","","","","","","","","","","","","","","","","","","26.21","","","25.15","","","","","","","","","",
"Wood feedstock (510)","Soft Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","510","3.0","","83.9",".36","1.88","19.82","7.3","","","","","","","","","","","","","","","","","","","","","","12","","","165.80","","","","","","","","","",
"Wood feedstock (410)","Soft Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","410","2.6","","65.7",".21","4.38","23.52","7.1","","","","","","","","","","","","","","","","","","","","","","10","","","2.82","","","","","","","","","",
"New Earth Pine","Soft Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","600","17.0","","71.2",".91","2.88","11.61","7.9","","","","","","","","","","","","","","","","","","","","","","3.18","","","4.97","","","","","","","","","",
"Innoculated Char","Hard Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","520","15.5","","53.3","1.96","3.70","24.30","6.8","","","","","","","","","","","","","","","","","","","","","","44.51","","","95.90","","","","","","","","","",
"Charcoal Green","Hard Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","520","5.0","","87.3",".59","2.15","7.40","9.2","","","","","","","","","","","","","","","","","","","","","","9.13","","","164.10","","","","","","","","","",
"Oak","Hard Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","","2.8","","88.0","0.44","2.55","14.81","9.5","","","","","","","","","","","","","","","","","","","","","","14.87","","","153.10","","","","","","","","","",
"HW","Hard Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","","5.5","","85.4","0.55","2.37","8.85","8.8","","","","","","","","","","","","","","","","","","","","","","3.61","","","154.40","","","","","","","","","",
"Cottonwood","Hard Wood","","Non commercial","","","","Yes","Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204","","","4.2","","82.5","0.49","1.64","5.61","9.5","","","","","","","","","","","","","","","","","","","","","","16.47","","","300.00","","","","","","","","","",
"Soybean","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","15.2","","37.8","","","","","3.8","","","","","","","","","","","","","","","","28","","","1527","","","","47","","","","564","15651","11715","37789","","699","",
"Switchgrass","Grass","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","41.2","","23.7","","","","","0.5","","","","","","","","","","","","","","","","71","","","532","","","","35.1","","","","1161","9712","2953","5354","","516","",
"Bull Manure 300","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","300","7.7","60.6","60.6","1.3","4.9","26.6","","","","","","","","","","","","","","","","","","162","","","2712","","33.55","","55.5","","","","3014","149.9","97.2","264.3","","376","",
