"Biochar Name","Feedstock Composition","Optional comments about Feedstock","Commercial","Geographic Region","Manufacturer","Pyrolysis Method","Source: Peer Reviewed Publication","Reference","Moisture (%)","Temperature (C)","Total Ash Content (%)","C Organic (%)  ","Total C (%) Used in Plot","Total N (%)","H (%)","O (%)","pH","EC (dS/m)","Mean Particle Size (mm)","Germination Inhibition","Polycylic Aromatic Hydrocarbons (mg/kg)","Dioxin/Furan (mg/kg)","Polychlorinated Biphenyls (mg/kg)","Arsenic (mg/kg)","Cadmium (mg/kg)","Chromium (mg/kg)","Cobalt (mg/kg)","Copper (mg/kg)","Lead (mg/kg)","Molybdenum (mg/kg)","Mercury (mg/kg)","Nickel (mg/kg)","Selenium (mg/kg)","Zinc (mg/kg)","Boron (mg/kg)","Chlorine (mg/kg)","Sodium (mg/kg)","Previous Page","Cation Exchange Capacity (cmolc/kg)","Method Summary/Reference","Volatile Matter (%)","Total Surface Area (m2/g)","Method Summary/Reference","Extractable P (mg/kg)","Total P (mg/kg)","Calcium (mg/kg)","Magnesium (mg/kg)","Potassium (mg/kg)","Aluminum (mg/kg)","Iron (mg/kg)","Elemental extraction method",
"OMW 430 35","Other/ Mixed","olive mill waste","Non commercial","","","slow with heating rat of 35 C min-1","Yes","Hmid, A et al., Biomass and Bioenergy 71 (2014) 330-339.","","430","7.7","","74.7","0.94","3.82","12.89","9.2","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OMW 430 45","Other/ Mixed","olive mill waste","Non commercial","","","slow with heating rate of 45 C min-1","Yes","Hmid, A et al., Biomass and Bioenergy 71 (2014) 330-339.","","430","7.5","","76.9","0.90","3.51","11.16","9.0","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OMW 480 25","Other/ Mixed","olive mill waste","Non commercial","","","slow with heating rate of 25 C min-1","Yes","Hmid, A et al., Biomass and Bioenergy 71 (2014) 330-339.","","480","8.8","","75.3","0.94","3.64","11.29","8.9","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OMW 480 35","Other/ Mixed","olive mill waste","Non commercial","","","slow with heating rate of 35 C min-1","Yes","Hmid, A et al., Biomass and Bioenergy 71 (2014) 330-339.","","480","8.6","","79.8","0.88","3.08","7.67","8.9","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OMW 460 45","Other/ Mixed","olive mill waste","Non commercial","","","slow with heating rate of 45 C min-1","Yes","Hmid, A et al., Biomass and Bioenergy 71 (2014) 330-339.","","480","8.5","","80.5","0.78","2.82","7.44","8.9","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OMW 530 25","Other/ Mixed","olive mill waste","Non commercial","","","slow","Yes","Hmid, A et al., Biomass and Bioenergy 71 (2014) 330-339.","","530","9.7","","84.1","0.73","1.89","3.51","9.1","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OMW 530 35","Other/ Mixed","olive mill waste","Non commercial","","","slow with heating rate of 35 C min-1","Yes","Hmid, A et al., Biomass and Bioenergy 71 (2014) 330-339.","","530","9.7","","77.5","0.88","3.25","8.72","9.3","0.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OMW 530 45","Other/ Mixed","olive mill waste","Non commercial","","","slow wiht heating rate of 45 C min-1","Yes","Hmid, A et al., Biomass and Bioenergy 71 (2014) 330-339.","","530","9.5","","77.8","0.91","3.10","8.68","9.5","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SCB 500","Grass","sugar cane bagasse","Non commercial","","","slow","Yes","Abdelhafez, A. A et al., Chemosphere 117 (2014) 66-71.","","500","12","","74","1.0","2.6","22","9.6","0.07","","","","","","0.1","","","","7.2","","","","","","164","","","","","69.6","","","92.3","BET Analysis","","2000","2000","3000","20000","","1034","",
"OP 500","Other/ Mixed","orange peel","Non commercial","","","slow","Yes","Abdelhafez, A. A et al., Chemosphere 117 (2014) 66-71.","","500","11","","66","2.1","3.6","28","8.8","0.06","","","","","","0.2","","","","1.9","","","","","","6","","","","","68.28","","","0.21","BET Analysis","","3000","10000","3000","19000","","210","",
"sludge 330","Sludge","","Non commercial","","","slow","Yes","Singla, A et al., Agriculture, Ecosystems & Environment 197 (2014) 278-287.","","330","","31.72","","3.4","2.5","","8.81","3.86","","","","","","0.5","0.4","3.7","","76","2.5","0.02","0.1","2.1","","317","5","10","25","","","","","","","","","","22000","","","","",
"Pine 300","Soft Wood","","Non commercial","","","slow","Yes","Huff, M. D et al., Journal of Environmental Management 146 (2014) 303-308.","","300","4.93","","74.17","","3.76","14.54","","","","","","","","","","","","","","","","","","","","","","","","","27.89","","","","","","","","","","",
"Pine 400","Soft Wood","","Non commercial","","","slow","Yes","Huff, M. D et al., Journal of Environmental Management 146 (2014) 303-308.","","400","3.99","","81.64","","2.69","5.26","","","","","","","","","","","","","","","","","","","","","","","","","19.57","","","","","","","","","","",
"Pine 500","Soft Wood","","Non commercial","","","slow","Yes","Huff, M. D et al., Journal of Environmental Management 146 (2014) 303-308.","","500","2.37","","83.2","","2.74","4.05","","","","","","","","","","","","","","","","","","","","","","","","","11.67","","","","","","","","","","",
"PS 600","Nutshell","palm shell","Non commercial","","","slow","Yes","Windeatt, J. H et al., Journal of Environmental Management 146 (2014) 189-197.","2.2","600","6.7","","90.6","0.9","2.8","7.9","6.1","","","","","","","","","","","","","","","","","","","","","","","","11.5","220.0","","","","","","","","","",
"SCB 600","Grass","sugarcane bagasse","Non commercial","","","slow","Yes","Windeatt, J. H et al., Journal of Environmental Management 146 (2014) 189-197.","3.7","600","13.0","","88.6","1.3","2.8","13.7","8.6","","","","","","","","","","","","","","","","","","","","","","","","30.1","149.1","","","","","","","","","",
"RH 600","Hull","rice husk","Non commercial","","","slow","Yes","Windeatt, J. H et al., Journal of Environmental Management 146 (2014) 189-197.","5.7","600","47.0","","54.5","1.1","2.1","5.4","9.9","","","","","","","","","","","","","","","","","","","","","","","","13.9","114.9","","","","","","","","","",
"CS 600","Other/ Mixed","coconut shell","Non commercial","","","slow","Yes","Windeatt, J. H et al., Journal of Environmental Management 146 (2014) 189-197.","7.1","600","4.1","","93.9","0.4","3.0","2.6","8.5","","","","","","","","","","","","","","","","","","","","","","","","8.1","222.5","","","","","","","","","",
"WS 600","Grass","wheat straw","Non commercial","","","slow","Yes","Windeatt, J. H et al., Journal of Environmental Management 146 (2014) 189-197.","8.1","600","23.4","","75.3","1.0","2.6","4.5","11.6","","","","","","","","","","","","","","","","","","","","","","","","21.2","6.3","","","","","","","","","",
"CoS 600","Other/ Mixed","Cotton stalk","Non commercial","","","slow","Yes","Windeatt, J. H et al., Journal of Environmental Management 146 (2014) 189-197.","8.5","600","9.5","","83.2","4.8","3.2","14.2","10.3","","","","","","","","","","","","","","","","","","","","","","","","28.8","121.12","","","","","","","","","",
"OPo 600","Pomace","olive pomace","Non commercial","","","slow","Yes","Windeatt, J. H et al., Journal of Environmental Management 146 (2014) 189-197.","10.0","600","18.1","","71.8","1.9","2.8","11.6","10.5","","","","","","","","","","","","","","","","","","","","","","","","20.9","1.2","","","","","","","","","",
"CF 600","Hull","coconut fibre","Non commercial","","","slow","Yes","Windeatt, J. H et al., Journal of Environmental Management 146 (2014) 189-197.","10.4","600","13.5","","82.6","2.4","2.7","12.8","9.6","","","","","","","","","","","","","","","","","","","","","","","","25.1","23.2","","","","","","","","","",
"HW 550","Hard Wood","","Non commercial","","","slow","Yes","Borchard, N ET al., Soil and Tillage Research 144 (2014) 184-194.","","550","","","87.5","0.32","2.63","9.55","8.4","","","","","","","","","","","","","","","","","","","","","","6.3","","","85","BET Analysis","","49.8","","21.8","177.1","","","",
"SW 500","Soft Wood","","Non commercial","","","flash","Yes","Borchard, N ET al., Soil and Tillage Research 144 (2014) 184-194.","","500","","","79.5","0.20","3.89","13.3","4.2","","","","","","","","","","","","","","","","","","","","","","17.8","","","","","","8.4","","9.0","70.5","","","",
"RS 450","Grass","rice straw","Non commercial","","","slow","Yes","Taha, S. M et al., Journal of Environmental Chemical Engineering 2,4 (2014) 2013-2025.","","450","41.0","","44.20","1.44","2.24","","10.37","","","","","","","","","","","","","","","","","","","","","","","","","522.5","BET Analysis","","","","","","","","",
"CS 450","Corn stover","","Non commercial","","","slow","Yes","Taha, S. M et al., Journal of Environmental Chemical Engineering 2,4 (2014) 2013-2025.","","450","27.5","","63.59","1.35","2.75","","10.16","","","","","","","","","","","","","","","","","","","","","","","","","551.7","BET Analysis","","","","","","","","",
"AT 400","Hard Wood","apple tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","400","","","70.18","0.76","4.13","20.56","7.02","","","","","","","","","","","","","","","","","","","","","","","","32.36","11.90","BET Analysis","","","","","","","","",
"AT 500","Hard Wood","apple tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","500","","","79.12","0.34","2.65","11.98","9.64","","","","","","","","","","","","","","","","","","","","","","","","18.27","58.60","BET Analysis","","","","","","","","",
"AT 600","Hard Wood","apple tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","600","","","81.46","0.46","1.96","13.63","10.04","","","","","","","","","","","","","","","","","","","","","","","","11.07","208.69","BET Analysis","","","","","","","","",
"AT 700","Hard Wood","apple tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","700","","","82.26","0.41","1.21","16.34","10.03","","","","","","","","","","","","","","","","","","","","","","","","7.72","418.66","BET Analysis","","","","","","","","",
"AT 800","Hard Wood","apple tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","800","","","84.84","0.34","0.60","5.81","10.02","","","","","","","","","","","","","","","","","","","","","","","","6.82","545.43","BET Analysis","","","","","","","","",
"OT 400","Hard Wood","oak tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","400","","","70.52","0.69","3.70","21.47","6.43","","","","","","","","","","","","","","","","","","","","","","","","32.06","5.60","BET Analysis","","","","","","","","",
"OT 500","Hard Wood","oak tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","500","","","77.57","0.51","2.51","17.73","8.10","","","","","","","","","","","","","","","","","","","","","","","","19.42","103.17","BET Analysis","","","","","","","","",
"OT 600","Hard Wood","oak tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","600","","","81.22","0.48","1.92","15.96","8.85","","","","","","","","","","","","","","","","","","","","","","","","12.30","288.58","BET Analysis","","","","","","","","",
"OT 700","Hard Wood","oak tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","700","","","83.22","0.31","1.16","14.97","9.54","","","","","","","","","","","","","","","","","","","","","","","","8.28","335.61","BET Analysis","","","","","","","","",
"OT 800","Hard Wood","oak tree","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","800","","","82.85","0.32","0.69","17.29","9.68","","","","","","","","","","","","","","","","","","","","","","","","7.87","398.15","BET Analysis","","","","","","","","",
"RH 400","Hull","rice husk","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","400","","","44.59","0.69","2.50","16.32","6.84","","","","","","","","","","","","","","","","","","","","","","","","22.0","193.70","BET Analysis","","","","","","","","",
"RH 500","Hull","rice husk","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","500","","","45.15","0.47","1.27","7.12","8.99","","","","","","","","","","","","","","","","","","","","","","","","10.56","262.00","BET Analysis","","","","","","","","",
"RH 600","Hull","rice husk","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","600","","","40.53","0.37","0.85","9.23","9.41","","","","","","","","","","","","","","","","","","","","","","","","6.02","243.00","BET Analysis","","","","","","","","",
"RH 700","Hull","rice husk","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","700","","","38.81","0.26","0.46","12.69","9.52","","","","","","","","","","","","","","","","","","","","","","","","3.85","256.00","BET Analysis","","","","","","","","",
"RH 800","Hull","rice husk","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","800","","","40.41","0.22","0.28","2.69","9.62","","","","","","","","","","","","","","","","","","","","","","","","3.17","295.57","BET Analysis","","","","","","","","",
"RS 400","Grass","rice straw","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","400","","","49.92","1.22","2.80","12.02","8.62","","","","","","","","","","","","","","","","","","","","","","","","22.42","46.60","BET Analysis","","","","","","","","",
"RS 500","Grass","rice straw","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","500","","","37.48","0.61","0.93","8.64","9.82","","","","","","","","","","","","","","","","","","","","","","","","12.80","59.91","BET Analysis","","","","","","","","",
"RS 600","Grass","rice straw","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","600","","","33.78","0.41","0.60","13.68","10.19","","","","","","","","","","","","","","","","","","","","","","","","8.36","129.00","BET Analysis","","","","","","","","",
"RS 700","Grass","rice straw","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","700","","","36.26","0.34","0.51","17.38","10.39","","","","","","","","","","","","","","","","","","","","","","","","5.33","149.00","BET Analysis","","","","","","","","",
"RS 800","Grass","rice straw","Non commercial","","","slow","Yes","Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.","","800","","","29.17","0.25","0.25","17.38","10.47","","","","","","","","","","","","","","","","","","","","","","","","4.47","256.96","BET Analysis","","","","","","","","",
"DM 500","Manure","dairy manure","Non commercial","","","slow","Yes","Xu, X et al., RSC Advances 4, 85 (2014) 44930-44937.","","500","","","44.7","1.99","","","10.2","","","","","","","","","","","","","","","","","","","17100","","","","","","150","","","","21700","7600","","","","",
"RS 500","Grass","rice straw","Non commercial","","","slow","Yes","Xu, X et al., RSC Advances 4, 85 (2014) 44930-44937.","","500","","","57.2","1.58","","","9.78","","","","","","","","","","","","","","","","","","","16060","","","","","","128","","","","9590","2290","","","","",
"WC 600","Other/ Mixed","wood chippings","Commercial","","Swiss Biochar ","slow","Yes","Cely, P et al., Solid Earth 5, 1 (2014) 585-594.","","620","7.87","","82.00","0.33","1.49","5.76","10.19","1776","","","","","","","0.43","21","","61","4","","","18","","47","","","","","23.77","","14.88","332.138","BET Analysis","","","","","","","","",
"PSWH 500","Other/ Mixed","paper sludge and wheat husks","Commercial","","Sonnenerde","slow","Yes","Cely, P et al., Solid Earth 5, 1 (2014) 585-594.","","500","34.85","","50.75","1.36","1.73","12.08","9.40","2330","","","","","","","0.72","32","","37","24","","","30","","134","","","","","20.97","","22.43","92.6115","BET Analysis","","","","","","","","",
"SS 600","Sludge","sewage sludge","Commercial","Pyreg","","slow","Yes","Cely, P et al., Solid Earth 5, 1 (2014) 585-594.","","600","73.55","","18.45","2.10","1.19","7.69","7.66","3700","","","","","","","4.98","76","","406","141","","","78","","1350","","","","","24.19","","13.68","59.1572","BET Analysis","","","","","","","","",
"HM 300","Manure","human manure","Non commercial","","","slow","Yes","Liu, X et al., Waste Management 34, 9 (2014) 1619-1626.","3.2","300","26.3","","42.9","4.8","6.7","44.4","7.3","","","","","","","","","","","","","","","","","","","","","","","","60.5","","","","54000","","","19000","","","",
"HM 400","Manure","human manure","Non commercial","","","slow","Yes","Liu, X et al., Waste Management 34, 9 (2014) 1619-1626.","4.2","400","31.3","","42.0","3.4","3.5","50.1","7.5","","","","","","","","","","","","","","","","","","","","","","","","53.1","","","","63000","","","21000","","","",
"HM 500","Manure","human manure","Non commercial","","","slow","Yes","Liu, X et al., Waste Management 34, 9 (2014) 1619-1626.","4.7","500","45.5","","35.7","2.9","1.9","58.4","10.3","","","","","","","","","","","","","","","","","","","","","","","","31.8","","","","79000","","","28000","","","",
"HM 600","Manure","human manure","Non commercial","","","slow","Yes","Liu, X et al., Waste Management 34, 9 (2014) 1619-1626.","2.4","500","58.8","","37.9","2.9","1.8","56.4","10.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","81000","","","27000","","","",
"HM 700","Manure","human manure","Non commercial","","","slow","Yes","Liu, X et al., Waste Management 34, 9 (2014) 1619-1626.","2.9","700","62.5","","36.4","2.4","1.8","58.3","11.1","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","78000","","","26000","","","",
"SG 350","Grass","switchgrass","Non commercial","","","slow","Yes","Hall, K. E et al., Water, Air, & Soil Pollution 225, 7 (2014) 1-9.","","350","3.21","","75.53","0.52","4.55","","7.4","","","","","","","","","","","","","","","","","","","","","","","","41.40","","","","","","","","","","",
"SM 350","Manure","","Non commercial","Florence, Italy","","slow","Yes","Hall, K. E et al., Water, Air, & Soil Pollution 225, 7 (2014) 1-9.","","350","34.97","","51.02","5.94","3.68","","6.5","","","","","","","","","","","","","","","","","","","","","","","","37.61","","","","","","","","","","",
"PL 350","Other/ Mixed","poultry litter","Non commercial","","","slow","Yes","Hall, K. E et al., Water, Air, & Soil Pollution 225, 7 (2014) 1-9.","","350","32.06","","51.50","5.13","3.56","","9.4","","","","","","","","","","","","","","","","","","","","","","","","36.15","","","","","","","","","","",
"PC 350","Soft Wood","pine chips","Non commercial","","","slow","Yes","Hall, K. E et al., Water, Air, & Soil Pollution 225, 7 (2014) 1-9.","","350","1.79","","78.68","0.37","4.87","","7.1","","","","","","","","","","","","","","","","","","","","","","","","40.41","","","","","","","","","","",
"BB 700, 5","Grass","moso bamboo","Non commercial","","","slow with heating rate of 5 C min-1","Yes","Chen, D et al., Bioresource Technology 169 (2014) 313-319.","","700","4.92","","88.12","1.03","1.17","9.54","","","","","","","","","","","","","","","","","","","","","","","","","6.56","64.32","","","","","","","","","",
"BB 700, 10","Grass","moso bamboo","Non commercial","","","slow with heating rate of 10 C min -1","Yes","Chen, D et al., Bioresource Technology 169 (2014) 313-319.","","700","4.89","","89.71","1.05","1.19","7.91","","","","","","","","","","","","","","","","","","","","","","","","","5.27","64.78","","","","","","","","","",
"BB 700, 20","Grass","moso bamboo","Non commercial","","","slow with heating rate of 20 C min -1","Yes","Chen, D et al., Bioresource Technology 169 (2014) 313-319.","","700","6.51","","87.23","1.16","1.13","10.34","","","","","","","","","","","","","","","","","","","","","","","","","4.45","69.56","","","","","","","","","",
"BB 700, 30","Grass","moso bamboo","Non commercial","","","slow with heating rate of 30 C min -1","Yes","Chen, D et al., Bioresource Technology 169 (2014) 313-319.","","700","9.16","","85.94","1.21","0.87","11.86","","","","","","","","","","","","","","","","","","","","","","","","","3.26","72.63","","","","","","","","","",
"PC 350","Soft Wood","pine chips","Non commercial","","","slow","Yes","Calvelo Pereira, R et al., Animal Feed Science and Technology 196 (2014) 22-31.","","350","4.0","","67.1","0.56","","","9.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PC 550","Soft Wood","pine chips","Non commercial","","","slow","Yes","Calvelo Pereira, R et al., Animal Feed Science and Technology 196 (2014) 22-31.","","550","7.5","","77.7","0.61","","","9.80","","","","","","","","","","","","","","","","","","","","","","","","","235","","","","","","","","","",
"CS 350","Corn stover","","Non commercial","","","slow","Yes","Calvelo Pereira, R et al., Animal Feed Science and Technology 196 (2014) 22-31.","","350","10.0","","65.1","0.74","","","8.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CS 550","Corn stover","","Non commercial","","","slow","Yes","Calvelo Pereira, R et al., Animal Feed Science and Technology 196 (2014) 22-31.","","550","10.8","","74.3","0.78","","","9.89","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","",
"POS 550","Sludge","palm oil sludge","Non commercial","","","slow","Yes","Thangalazhy-Gopakumar, S et al., Bioresource Technology (2014).","4.4","550","46.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9","BET Analysis","","","","","","","","",
"MW 500","Other/ Mixed","mixed wood","Non commercial","","","slow","Yes","Ogbonnaya, U et al., Influence of Wood Biochar on Phenanthrene Catabolism in Soils. Environments 1, (2014) 60-74.","","500","14.4","","","","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MW 500","Other/ Mixed","mixed woods","Non commercial","","","slow","Yes","Ogbonnaya, U et al., Environments 1, 1 (2014) 60-74.","","500","13.7","","","","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"RI 300, 10","Other/ Mixed"," radix isatidis residue","Non commercial","","","slow with holding time of 10 minutes","Yes","Yuan, H et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 277-284.","","300","14.18","","54.85","","4.55","19.98","","","","","","","","","","","","","","","","","","","","","","","","","39.15","","","","","","","","","","",
"RI 300, 90","Other/ Mixed","radix isatidis residue","Non commercial","","","slow","Yes","Yuan, H et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 277-284.","","300","16.84","","56.28","","4.55","17.73","","","","","","","","","","","","","","","","","","","","","","","","","37.67","","","","","","","","","","",
"RI 300, 180","Other/ Mixed"," radix isatidis residue","Non commercial","","","slow","Yes","Yuan, H et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 277-284.","","300","18.37","","58.01","","4.56","13.93","","","","","","","","","","","","","","","","","","","","","","","","","36.40","","","","","","","","","","",
"RI 500, 10","Other/ Mixed"," radix isatidis residue","Non commercial","","","slow","Yes","Yuan, H et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 277-284.","","500","16.45","","60.84","","3.07","14.97","","","","","","","","","","","","","","","","","","","","","","","","","23.91","","","","","","","","","","",
"RI 500, 90","Other/ Mixed","radix isatidis residue","Non commercial","","","slow","Yes","Yuan, H et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 277-284.","","500","17.63","","64.08","","2.77","10.70","","","","","","","","","","","","","","","","","","","","","","","","","16.88","","","","","","","","","","",
"RI 500, 180","Other/ Mixed","radix isatidis residue","Non commercial","","","slow","Yes","Yuan, H et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 277-284.","","500","19.66","","66.27","","2.16","7.68","","","","","","","","","","","","","","","","","","","","","","","","","14.40","","","","","","","","","","",
"R1 700, 10","Other/ Mixed","radix isatidis residue","Non commercial","","","slow","Yes","Yuan, H et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 277-284.","","500","18.8","","62.7","","2.24","11.94","","","","","","","","","","","","","","","","","","","","","","","","","14.47","","","","","","","","","","",
"RI 700, 90","Other/ Mixed","radix isatidis residue","Non commercial","","","slow","Yes","Yuan, H et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 277-284.","","700","21.09","","66.44","","1.90","6.76","","","","","","","","","","","","","","","","","","","","","","","","","6.54","","","","","","","","","","",
"RI 700, 180","Other/ Mixed","radix isatidis residue","Non commercial","","","slow","Yes","Yuan, H et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 277-284.","","700","23.42","","68.17","","1.54","3.74","","","","","","","","","","","","","","","","","","","","","","","","","6.11","","","","","","","","","","",
"MSW 400","Other/ Mixed","municipal solid waste","Non commercial","","","slow","Yes","Jin, H et al., Bioresource Technology 169 (2014) 622-629.","","400","6.1","","48.6","1.3","12.2","31.7","","","","","","","","38","5","43","","63","1","","","67","","149","","","","","","","22.3","","","","","","","","","","",
"MSW 500","Other/ Mixed","municipal solid waste","Non commercial","","","slow","Yes","Jin, H et al., Bioresource Technology 169 (2014) 622-629.","","500","9.2","","59.5","1.4","9.1","20.8","","","","","","","","12","5","64","","101","10","","","143","","213","","","","","","","26.4","","","","","","","","","","",
"MSW 600","Other/ Mixed","municipal solid waste","Non commercial","","","slow","Yes","Jin, H et al., Bioresource Technology 169 (2014) 622-629.","","600","6.2","","70.1","1.3","8.4","13.7","","","","","","","","","6","103","","157","38","","","599","","356","","","","","","","15.1","","","","","","","","","","",
"SG 400, 1","Grass","switchgrass","Non commercial","","","slow with residence time of 1 minute","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","400","1.9","","44.5","0.35","","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 450, 1","Grass","switchgrass","Non commercial","","","slow with residence time of 1 minute","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","450","2.8","","46.8","0.34","","","5.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 500, 1","Grass","switchgrass","Non commercial","","","slow with residence time of 1 minute","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","500","2.7","","46.3","0.31","","","5.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 400, 2","Grass","switchgrass","Non commercial","","","slow with residence time of 2 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","400","1.4","","47.22","0.35","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 550, 1","Grass","switchgrass","Non commercial","","","slow with residence time of 1 minute","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","550","2.8","","48.4","0.32","","","6.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 450, 2","Grass","switchgrass","Non commercial","","","slow with 2 minute residence time","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","450","2.9","","50.2","0.32","","","6.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 600, 1","Grass","switchgrass","Non commercial","","","slow with residence time of 1 minute","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","600","3.3","","52.1","0.36","","","6.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 500, 2","Grass","switchgrass","Non commercial","","","slow with residence time of 2 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","500","5.4","","60.1","0.40","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 400, 5","Grass","switchgrass","Non commercial","","","slow with residence time of 5 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","400","5.5","","65.5","0.45","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 650, 1","Grass","switchgrass","Non commercial","","","slow with residence time of 1 minute","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","650","7.8","","62.2","0.46","","","8.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 400, 10","Grass","switchgrass","Non commercial","","","slow with residence time of 10 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","400","8.3","","63.9","0.44","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 450, 5","Grass","switchgrass","Non commercial","","","slow with residence time of 5 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","450","6.0","","67.3","0.51","","","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
